NC_000852	JF411744
NC_001664	X83413
NC_001669	J02400
NC_001671	D10930
NC_001672	U27495
NC_001676	U37488
NC_001678	M60184
NC_001690	U31789
NC_001691	U31790
NC_001693	U31792
NC_001694	U31793
NC_001696	JQ782213
NC_001697	U24159
NC_001699	J02226
NC_001706	L48605
NC_001710	U44402
NC_001716	AF037218
NC_001718	L23427
NC_001720	U46933
NC_001721	X85989
NC_001722	M30502
NC_001725	X97304
NC_001726	U57305
NC_001728	X82130
NC_001730	X60323
NC_001731	U60315
NC_001734	Y07760
NC_001739	X15828
NC_001741	D00624
NC_001746	D00637
NC_001748	D13957
NC_001749	D14995
NC_001753	D29630
NC_001768	X04083
NC_001777	M33002
NC_001780	U72332
NC_001785	X67673
NC_001786	U73745
NC_001789	U83594
NC_001792	AF071879
NC_001793	U87832
NC_001798	JN561323
NC_001800	U89243
NC_001801	D12505
NC_001802	AF033819
NC_001806	JN555585
NC_001809	Y07863
NC_001812	U62963
NC_001813	Y09598
NC_001814	Y09854
NC_001818	Y13463
NC_001822	X94560
NC_001824	L63545
NC_001825	Z47794
NC_001826	U97553
NC_001828	AF012300
NC_001830	D12823
NC_001831	U94514
NC_001834	AF014388
NC_001835	AF011378
NC_001836	Y10237
NC_001837	U94421
NC_001839	U95208
NC_001841	D86371
NC_001844	AF030027
NC_001859	D00214
NC_001866	AF033809
NC_001867	AF033822
NC_001868	AF037752
NC_001873	U03387
NC_001874	AF022937
NC_001875	U75930
NC_001876	AF030154
NC_001884	AF020713
NC_001885	M26927
NC_001886	AF057533
NC_001890	AF059242
NC_001895	AF063097
NC_001896	AF046996
NC_001897	AJ005695
NC_001900	AF022214
NC_001901	AF064539
NC_001902	AF065411
NC_001906	AF017149
NC_001909	AF009630
NC_001914	X57924
NC_001915	M18049
NC_001916	M58756
NC_001917	AF012301
NC_001920	AF059712
NC_001921	AF014953
NC_001925	X14383
NC_001926	M11852
NC_001927	D00353
NC_001928	X15983
NC_001929	X15984
NC_001930	M88180
NC_001931	M88179
NC_001932	Z24758
NC_001933	Z24759
NC_001934	D00940
NC_001935	D00941
NC_001936	M38183
NC_001937	M38182
NC_001938	L14460
NC_001939	L14461
NC_001940	AF052723
NC_001943	Z25771
NC_001944	AF071878
NC_001946	AF017780
NC_001948	AF057136
NC_001954	U02303
NC_001956	AB002632
NC_001958	AF074946
NC_001959	M87661
NC_001962	L33180
NC_001963	AF038665
NC_001964	AF039080
NC_001973	AF081810
NC_001977	AF098523
NC_001978	AJ006589
NC_001981	U18246
NC_001982	L37299
NC_001983	D14703
NC_001984	D14704
NC_001987	AF083424
NC_001990	AF102884
NC_001993	AF063866
NC_001998	U41758
NC_002014	X02139
NC_002015	V01107
NC_002016	V01099
NC_002017	V01088
NC_002018	J02146
NC_002019	J02147
NC_002020	J02150
NC_002021	J02151
NC_002022	V01106
NC_002023	V00603
NC_002024	X01572
NC_002025	K02703
NC_002026	X02380
NC_002027	X01678
NC_002028	J02042
NC_002030	V01465
NC_002031	X03700
NC_002034	D00356
NC_002035	D00355
NC_002036	X14006
NC_002037	X00956
NC_002038	U15728
NC_002039	U15729
NC_002040	U15730
NC_002041	L07937
NC_002042	L07938
NC_002046	AF049336
NC_002047	AF039841
NC_002048	Y15034
NC_002049	Y15033
NC_002050	S48091
NC_002051	D00645
NC_002052	D10066
NC_002058	V01149
NC_002063	M92355
NC_002064	U32108
NC_002066	AF092924
NC_002072	AF085222
NC_002076	AB041007
NC_002160	AF218798
NC_002161	AF178654
NC_002164	AJ271595
NC_002166	AF069308
NC_002167	AF069529
NC_002169	AF169823
NC_002180	AE002163
NC_002185	AF145054
NC_002187	D86123
NC_002188	AF198100
NC_002194	AJ270057
NC_002195	AB038625
NC_002198	AF235168
NC_002199	AF079780
NC_002200	AB040874
NC_002201	AF201902
NC_002204	M14880
NC_002205	AF101982
NC_002206	AF102017
NC_002207	K00423
NC_002208	K01395
NC_002209	J02095
NC_002210	J02094
NC_002211	J02096
NC_002214	AF158600
NC_002229	AF243438
NC_002232	AF227240
NC_002251	AB030277
NC_002321	AB009866
NC_002323	AB009656
NC_002324	AB010376
NC_002325	AB010377
NC_002326	AB010378
NC_002327	AB000403
NC_002328	AB000404
NC_002330	AJ132577
NC_002331	AF162221
NC_002349	D86635
NC_002350	D86634
NC_002351	AJ132576
NC_002356	AJ012006
NC_002357	AJ132579
NC_002358	AJ132578
NC_002359	AJ012005
NC_002361	AF252610
NC_002362	AB043678
NC_002363	AB043679
NC_002371	BK000583
NC_002468	AF237816
NC_002469	Y15937
NC_002470	Y15936
NC_002484	AF165214
NC_002486	AB044554
NC_002500	AF170028
NC_002501	AF224336
NC_002509	AF169561
NC_002510	AF155064
NC_002512	AF232689
NC_002513	AF252854
NC_002515	AF246223
NC_002519	AF189021
NC_002520	AF250284
NC_002526	AF234533
NC_002531	AF005370
NC_002532	X53459
NC_002543	U49907
NC_002548	AF150629
NC_002549	AF086833
NC_002551	U76874
NC_002552	AB032469
NC_002555	AF291705
NC_002556	AF291706
NC_002557	AF291683
NC_002558	AF291684
NC_002559	AF291685
NC_002560	AF291687
NC_002561	AF291688
NC_002562	AF291689
NC_002563	AF291690
NC_002564	AF291691
NC_002565	AF291692
NC_002566	AF291693
NC_002567	AF291686
NC_002568	AY004291
NC_002588	AF195000
NC_002593	AF270937
NC_002598	U55002
NC_002600	AF023848
NC_002604	AF238884
NC_002615	Z69620
NC_002618	Z48630
NC_002633	AF321057
NC_002634	D00507
NC_002641	AF291866
NC_002642	AJ293568
NC_002643	AF306496
NC_002645	AF304460
NC_002649	X96987
NC_002654	AF271059
NC_002656	AF271693
NC_002661	AB045978
NC_002665	AF318573
NC_002685	AF036092
NC_002686	AF275348
NC_002687	AF204951
NC_002690	AF174533
NC_002691	AF174534
NC_002692	AF332868
NC_002700	AF334111
NC_002702	AF289262
NC_002728	AF212302
NC_002729	AF314662
NC_002730	AF335538
NC_002743	U74627
NC_002766	AF352024
NC_002786	AF265566
NC_002792	HQ667979
NC_002794	AF281817
NC_002795	AB051848
NC_002797	AF316992
NC_002800	AF316993
NC_002803	U18101
NC_002815	AF308158
NC_002816	U53466
NC_002817	AF350330
NC_002981	AF314144
NC_002984	AF224760
NC_002985	AF224761
NC_002990	AJ132268
NC_002991	AJ132269
NC_003003	AF225953
NC_003004	AF225954
NC_003005	AF277675
NC_003006	AF389452
NC_003007	AF389453
NC_003008	AF389454
NC_003009	AF389455
NC_003010	AF389456
NC_003011	AF389457
NC_003012	AF389458
NC_003013	AF389459
NC_003014	AF389460
NC_003015	AF389461
NC_003016	AF389462
NC_003017	AF389463
NC_003018	AF389464
NC_003019	AF389465
NC_003020	AF389466
NC_003021	AF389467
NC_003022	AF389468
NC_003023	AF389469
NC_003024	AF389470
NC_003025	AF389471
NC_003027	AF325528
NC_003031	AJ277091
NC_003038	AF303741
NC_003050	AJ302074
NC_003054	AJ304456
NC_003056	AB038147
NC_003059	AF356697
NC_003083	AY043265
NC_003084	AF403738
NC_003085	AF396866
NC_003092	AF180391
NC_003093	AF406744
NC_003094	AF303045
NC_003102	AF325155
NC_003113	AF323747
NC_003138	AF404509
NC_003158	AY048850
NC_003197(2844298.2877981)	AE006468(2844298.2877981)
NC_003199	AF363011
NC_003214	AF440571
NC_003215	X04129
NC_003224	AF127929
NC_003225	KT995472
NC_003243	AF081020
NC_003264	AF447788
NC_003266	AY487947
NC_003278	AB008550
NC_003287	V00604
NC_003288	AP001553
NC_003291	AJ312240
NC_003298	AJ318471
NC_003299	AF226851
NC_003300	AF226852
NC_003301	AF226853
NC_003309	AF447491
NC_003310	AF380138
NC_003311	AF452449
NC_003313	AF125163
NC_003315	AY027935
NC_003323	AF391797
NC_003327	AF453500
NC_003346	AY033435
NC_003347	AJ309022
NC_003348	AJ238373
NC_003355	AB017503
NC_003357	AB050781
NC_003369	AF441393
NC_003375	AB010300
NC_003376	AB010302
NC_003377	AJ001691
NC_003378	AF190123
NC_003379	D01030
NC_003381	AJ002234
NC_003382	AF347695
NC_003387	AF068845
NC_003389	AF410153
NC_003390	AF338467
NC_003391	AF438165
NC_003397	AJ312437
NC_003398	AJ297628
NC_003399	AJ316084
NC_003400	AJ316085
NC_003401	AF083501
NC_003403	AJ252072
NC_003405	AJ308425
NC_003410	AJ301633
NC_003412	AF461742
NC_003414	AJ416153
NC_003417	AF237947
NC_003418	AF241479
NC_003433	AJ316246
NC_003434	AJ437618
NC_003436	AF353511
NC_003438	M17988
NC_003443	X57559
NC_003445	AJ311875
NC_003446	AJ311876
NC_003448	AB056571
NC_003449	AB056572
NC_003451	AF235033
NC_003452	AF235165
NC_003453	AF235166
NC_003460	AF428260
NC_003461	AF457102
NC_003462	D21829
NC_003463	X99487
NC_003464	AF174584
NC_003465	AF174585
NC_003466	AF291702
NC_003467	AF291703
NC_003468	AF291704
NC_003469	J04342
NC_003470	L39125
NC_003471	L39126
NC_003473	L41574
NC_003474	L41575
NC_003475	L41576
NC_003476	L41577
NC_003477	L41578
NC_003478	M16576
NC_003479	S56276
NC_003480	U15608
NC_003481	X03854
NC_003482	X90904
NC_003483	Y10973
NC_003487	U62546
NC_003491	X83110
NC_003492	D83749
NC_003493	Y11023
NC_003494	AF371960
NC_003495	M62738
NC_003496	U70866
NC_003498	X04658
NC_003499	L25658
NC_003500	X85215
NC_003501	Z48506
NC_003502	AF020051
NC_003504	AF110189
NC_003505	AF110190
NC_003509	AF368272
NC_003510	AJ223596
NC_003511	AJ223597
NC_003512	AJ223598
NC_003513	D63936
NC_003514	D84410
NC_003515	D84411
NC_003516	D84412
NC_003517	D84413
NC_003518	U64512
NC_003519	Z66493
NC_003520	Z97873
NC_003521	AF480884
NC_003529	U59461
NC_003530	L18870
NC_003531	M88589
NC_003532	X15511
NC_003534	L29010
NC_003535	U20976
NC_003536	AB011819
NC_003537	AJ298033
NC_003538	X15663
NC_003539	X14638
NC_003540	Y14700
NC_003541	M28817
NC_003542	M28818
NC_003543	M65139
NC_003544	M83309
NC_003545	M83830
NC_003546	U17390
NC_003547	U17726
NC_003548	U23715
NC_003549	X00206
NC_003550	X00729
NC_003553	X17101
NC_003554	X06166
NC_003555	L13218
NC_003556	AB007990
NC_003557	AJ292226
NC_003559	AJ132179
NC_003560	AJ132180
NC_003561	AJ132181
NC_003562	AJ132182
NC_003563	AJ132183
NC_003564	AJ132184
NC_003566	AJ132186
NC_003568	U34050
NC_003569	U57047
NC_003570	U85399
NC_003602	X75448
NC_003603	Z69910
NC_003604	X75433
NC_003605	X97705
NC_003606	Z26920
NC_003607	U41345
NC_003608	X86448
NC_003610	AJ295948
NC_003611	X07397
NC_003612	J04348
NC_003613	X95734
NC_003614	AF025538
NC_003615	D00915
NC_003616	M74904
NC_003617	U15440
NC_003618	U15441
NC_003619	U27809
NC_003620	U42555
NC_003621	X15163
NC_003622	X15346
NC_003623	X16907
NC_003624	X66972
NC_003625	X93218
NC_003626	U67839
NC_003627	X14736
NC_003628	D14066
NC_003629	L04573
NC_003630	M81413
NC_003631	M55012
NC_003632	S73580
NC_003633	X83964
NC_003634	Y16104
NC_003635	AJ242984
NC_003636	M83545
NC_003638	AB000920
NC_003640	AB000922
NC_003641	AB000923
NC_003642	AB000924
NC_003643	AB000925
NC_003644	AB000926
NC_003645	AB000927
NC_003646	AB009046
NC_003647	AB009047
NC_003648	AB027511
NC_003649	AJ272327
NC_003650	AJ272328
NC_003651	AJ272329
NC_003652	D14691
NC_003653	D26127
NC_003654	D49693
NC_003655	D49694
NC_003656	D49695
NC_003657	D49696
NC_003658	D49697
NC_003659	D49698
NC_003660	D49699
NC_003661	D49700
NC_003663	AF482758
NC_003664	AF490004
NC_003665	AF491306
NC_003668	L07269
NC_003669	L23972
NC_003670	X03241
NC_003671	X76993
NC_003672	X78602
NC_003673	X94346
NC_003674	X94347
NC_003675	AF144692
NC_003676	AF160193
NC_003678	AF144617
NC_003679	AF037405
NC_003680	D11028
NC_003681	X52960
NC_003682	X95365
NC_003683	X95290
NC_003687	L06436
NC_003688	X76931
NC_003689	X82547
NC_003690	AF253419
NC_003691	AF171942
NC_003692	AF171943
NC_003693	D00322
NC_003694	X04062
NC_003696	AF282467
NC_003697	AF282468
NC_003698	AF282469
NC_003699	AF282470
NC_003700	AF282471
NC_003701	AF282472
NC_003702	AF282473
NC_003703	AF282474
NC_003704	AF282475
NC_003705	AF282476
NC_003706	AF282477
NC_003707	AF282478
NC_003708	AJ012081
NC_003709	AJ012082
NC_003710	AY033436
NC_003711	AY033437
NC_003714	M12921
NC_003715	M17461
NC_003716	M17462
NC_003722	AJ457986
NC_003723	AJ238607
NC_003724	AJ243719
NC_003725	AJ277556
NC_003728	AJ293984
NC_003729	AJ294757
NC_003730	AJ297427
NC_003731	AJ297430
NC_003732	AJ297431
NC_003733	AJ297433
NC_003734	AJ409145
NC_003735	AJ409146
NC_003736	AJ409147
NC_003737	AJ409148
NC_003738	M14913
NC_003739	S51557
NC_003740	S55890
NC_003741	X64886
NC_003742	AF499738
NC_003743	X13063
NC_003744	M82918
NC_003745	J04692
NC_003746	AB011257
NC_003747	EF091714
NC_003748	AF498323
NC_003749	AF020334
NC_003750	AF020335
NC_003751	AF020336
NC_003752	AF020337
NC_003753	D10979
NC_003754	D13176
NC_003755	D31879
NC_003756	J04357
NC_003757	L38899
NC_003758	L46682
NC_003759	U33633
NC_003760	U36402
NC_003761	U36562
NC_003762	U36563
NC_003763	U36564
NC_003764	U36565
NC_003765	U36566
NC_003766	U36567
NC_003767	U36568
NC_003768	U36569
NC_003769	U66712
NC_003770	U66713
NC_003771	U66714
NC_003772	U72757
NC_003773	U73201
NC_003774	U73202
NC_003775	X08021
NC_003776	X53563
NC_003779	AB006531
NC_003781	AB000906
NC_003782	AB017037
NC_003783	AF178440
NC_003784	AF183905
NC_003785	AB009958
NC_003786	AB009959
NC_003787	AB030940
NC_003788	AB030941
NC_003790	AB033998
NC_003791	AB073147
NC_003792	AB073148
NC_003793	U28974
NC_003794	D12517
NC_003795	M97264
NC_003797	Z73124
NC_003799	AB054688
NC_003800	AB054689
NC_003801	AF133290
NC_003802	AF133291
NC_003803	AF155806
NC_003804	AF155807
NC_003805	AF166084
NC_003806	L07884
NC_003807	S46028
NC_003808	U93192
NC_003809	U93193
NC_003810	U93194
NC_003811	Z36974
NC_003812	AJ290434
NC_003813	U16730
NC_003814	U16731
NC_003815	U16732
NC_003816	U16733
NC_003817	U16734
NC_003818	U16735
NC_003819	U16736
NC_003820	X06728
NC_003821	M22445
NC_003822	M81103
NC_003823	U01059
NC_003824	U08999
NC_003825	X84735
NC_003828	X61153
NC_003830	AF101476
NC_003831	AF101478
NC_003832	AF133128
NC_003833	AF226160
NC_003834	AF226161
NC_003835	AF226162
NC_003836	AJ277268
NC_003837	D10044
NC_003838	D10663
NC_003839	D12477
NC_003840	L19655
NC_003841	U75379
NC_003842	U75538
NC_003843	U78734
NC_003844	U80934
NC_003845	X00435
NC_003847	M17182
NC_003849	Z21647
NC_003852	D13438
NC_003853	U03563
NC_003856	AF139168
NC_003857	AF170101
NC_003860	AF440790
NC_003861	AJ314737
NC_003862	AJ314738
NC_003865	AY064391
NC_003866	U65529
NC_003867	Y14874
NC_003868	Y14875
NC_003870	AF315308
NC_003873	AF127178
NC_003876	AF337175
NC_003877	AJ318061
NC_003878	AJ295949
NC_003883	AF015924
NC_003884	AF047013
NC_003885	D55668
NC_003886	D55669
NC_003887	U65530
NC_003891	Z48182
NC_003896	S53251
NC_003897	U38239
NC_003898	U88692
NC_003899	X63135
NC_003900	AF126284
NC_003907	AY095314
NC_003908	AF214040
NC_003911	CP000031(2001541.2913924)
NC_003924	AF218039
NC_003973	AF502599
NC_003976	AF327920
NC_003977	V01460
NC_003983	X96871
NC_003985	AJ011380
NC_003987	AF406813
NC_003990	AJ225173
NC_004002	AY077832
NC_004003	AY077835
NC_004005	AJ489258
NC_004006	M60291
NC_004007	M64713
NC_004008	M65138
NC_004010	AJ243766
NC_004011	AJ307057
NC_004012	AJ292230
NC_004013	AF348210
NC_004014	AB033691
NC_004015	AB033692
NC_004016	AJ306718
NC_004017	AJ306719
NC_004018	AY089993
NC_004019	AY089994
NC_004020	AY089995
NC_004034	AF325840
NC_004035	AJ310197
NC_004036	AF454635
NC_004037	U40839
NC_004039	AJ296311
NC_004042	M88686
NC_004043	M88687
NC_004044	AF311734
NC_004046	L31849
NC_004047	U19287
NC_004049	AJ004930
NC_004050	U90136
NC_004051	AF039063
NC_004052	AJ132754
NC_004053	AJ132755
NC_004054	AJ132756
NC_004060	DQ875594
NC_004062	AF499596
NC_004063	X07441
NC_004064	AY082891
NC_004067	AF484251
NC_004068	AY057109
NC_004074	AF298895
NC_004086	AJ344259
NC_004087	AJ414696
NC_004090	AJ495813
NC_004091	AJ495814
NC_004096	AF499442
NC_004097	AY044133
NC_004098	AY044134
NC_004099	AY044135
NC_004100	AY044136
NC_004101	U57457
NC_004102	AF009606
NC_004104	AY057438
NC_004105	AF012825
NC_004106	AB089381
NC_004107	M18752
NC_004112	AJ251789
NC_004117	AY126275
NC_004119	AJ299445
NC_004120	AB080598
NC_004121	AB080599
NC_004122	AB080600
NC_004123	AJ428554
NC_004124	AJ428555
NC_004142	AF329080
NC_004144	X15959
NC_004145	X15960
NC_004146	X77156
NC_004147	Y15934
NC_004153	AF264063
NC_004156	JN418988
NC_004157	AF434161
NC_004158	M94133
NC_004159	U15018
NC_004161	AF522874
NC_004162	AF369024
NC_004165	X99260
NC_004168	AB006783
NC_004169	AF196645
NC_004170	AF261666
NC_004171	AF261667
NC_004172	AF261668
NC_004173	AF408636
NC_004174	AY034425
NC_004175	AY039807
NC_004176	AY129662
NC_004177	U60650
NC_004178	X92760
NC_004179	X92761
NC_004180	AF000720
NC_004181	AF133428
NC_004182	AF139758
NC_004183	AF139759
NC_004184	AF139760
NC_004185	AF139761
NC_004186	AF139762
NC_004187	AF139763
NC_004188	AF139764
NC_004189	AF139765
NC_004190	U53227
NC_004191	U72694
NC_004192	AF314531
NC_004195	AF457465
NC_004197	AF486184
NC_004198	AF019908
NC_004199	AF019909
NC_004200	AF052014
NC_004201	AF052015
NC_004202	AF052016
NC_004203	AF052017
NC_004204	AF052018
NC_004205	AF052019
NC_004206	AF052020
NC_004207	AF052021
NC_004208	AF052022
NC_004209	AF052023
NC_004210	AF133429
NC_004211	AF133430
NC_004212	AF134509
NC_004213	AF134510
NC_004214	AF134511
NC_004215	AF134512
NC_004216	AF134513
NC_004217	AF134514
NC_004218	AF134515
NC_004219	AF134516
NC_004220	AF134517
NC_004221	AF134518
NC_004285	X74945
NC_004286	L32896
NC_004288	AF375296
NC_004289	AY032882
NC_004292	J04340
NC_004293	M20304
NC_004296	J04324
NC_004297	U73034
NC_004300	AJ507777
NC_004303	U88974
NC_004306	D89074
NC_004322	AB066288
NC_004323	AY145471
NC_004324	AF364175
NC_004333	AF543311
NC_004346	AF208001
NC_004348	AY052766
NC_004356	AJ512761
NC_004359	AB019508
NC_004362	AF278534
NC_004363	AF278535
NC_004364	U57046
NC_004365	AF536531
NC_004366	AF402620
NC_004367	AF319782
NC_004421	AB084788
NC_004422	U30944
NC_004423	D86636
NC_004424	D86637
NC_004425	D86638
NC_004426	AJ437279
NC_004439	AY157993
NC_004440	AY157994
NC_004441	AF363453
NC_004450	AF357836
NC_004451	AY064708
NC_004452	AF452884
NC_004456	AY133112
NC_004462	AB063393
NC_004466	AY078382
NC_004500	AF531420
NC_004515	AJ438938
NC_004540	AY180137
NC_004546	AJ421484
NC_004553	KC778720
NC_004558	AY190290
NC_004559	AY190291
NC_004569	AF271234
NC_004573	AJ437280
NC_004579	AY179509
NC_004580	AF480940
NC_004581	AF480941
NC_004582	AJ002455
NC_004583	AJ002449
NC_004607	AJ002447
NC_004608	AF126406
NC_004609	AF142440
NC_004611	U15015
NC_004612	U15017
NC_004613	AF195782
NC_004614	AF188481
NC_004615	AF424781
NC_004616	AF424782
NC_004617	AF424783
NC_004618	AJ223191
NC_004625	AF112354
NC_004627	AF307861
NC_004628	AF336806
NC_004629	AF399011
NC_004630	AF112355
NC_004634	AJ457824
NC_004637	AY090555
NC_004638	AF039031
NC_004639	AY090558
NC_004640	AF326775
NC_004641	AB055009
NC_004642	AF130415
NC_004644	AF039032
NC_004645	AF421552
NC_004646	AF421553
NC_004647	AF274349
NC_004648	AF327436
NC_004650	AF104036
NC_004651	AJ420319
NC_004655	AF422174
NC_004656	AF422175
NC_004657	X99550
NC_004658	X99551
NC_004661	Y11099
NC_004662	Y11100
NC_004664	AJ550940
NC_004665	AF493143
NC_004667	AF037268
NC_004673	AJ002451
NC_004674	AF126806
NC_004675	AF261885
NC_004676	AF126807
NC_004678	AF513032
NC_004680	AY129330
NC_004681	AY129331
NC_004682	AY129332
NC_004683	AY129333
NC_004684	AY129334
NC_004685	AY129335
NC_004686	AY129336
NC_004687	AY129337
NC_004688	AY129338
NC_004689	AY129339
NC_004690	AP006270
NC_004706	AY244706
NC_004718	AY274119
NC_004725	AY163842
NC_004729	X99149
NC_004730	AF447397
NC_004732	AF325497
NC_004736	AY242528
NC_004745	AY251033
NC_004750	X07653
NC_004751	L25299
NC_004752	U42596
NC_004755	AF072672
NC_004756	AF473561
NC_004764	AF241168
NC_004765	AF480454
NC_004775	AY150271
NC_004778	AF512031
NC_004800	AY140894
NC_004807	AY275710
NC_004809	AY242077
NC_004810	AY242078
NC_004812	AF533768
NC_004813	AJ556162
NC_004814	AY212251
NC_004824	AF509739
NC_004825	AF509740
NC_004828	AY186198
NC_004830	AJ489744
NC_004831	AY288927
NC_004902	AY299121
NC_004903	AJ566746
NC_004914	AP005154
NC_004927	AY190604
NC_004928	AY303349
NC_004995	AB086951
NC_005028	BD171712
NC_005029	AJ510223
NC_005030	KC699042
NC_005031	AB100304
NC_005032	AB050597
NC_005038	AF547984
NC_005039	AB114858
NC_005040	AY148187
NC_005041	AY189948
NC_005045	AJ505558
NC_005046	AJ316026
NC_005048	AJ316032
NC_005052	AJ316040
NC_005053	AY228555
NC_005056	AY135739
NC_005062	AY193805
NC_005065	AF531505
NC_005066	AY343333
NC_005068	AY229987
NC_005074	AB085814
NC_005077	AY129247
NC_005078	AY129248
NC_005079	AY358021
NC_005080	AY358022
NC_005081	AY358023
NC_005082	AY358024
NC_005083	AY283928
NC_005084	AY141760
NC_005091	AY357582
NC_005092	AY365064
NC_005093	AF104985
NC_005096	AY363727
NC_005097	U50869
NC_005131	AY374414
NC_005132	AY055762
NC_005134	AY382779
NC_005135	AY375531
NC_005136	AY377938
NC_005137	AY327402
NC_005138	AJ516059
NC_005166	AF403398
NC_005167	AF403399
NC_005168	AF403400
NC_005169	AF403401
NC_005170	AF403402
NC_005171	AF403403
NC_005172	AF403404
NC_005173	AF403405
NC_005174	AF403406
NC_005175	AF403407
NC_005176	AF403408
NC_005178	AY394005
NC_005179	AY386371
NC_005209	AY330918
NC_005210	AY330919
NC_005214	D10759
NC_005215	L25783
NC_005216	L25784
NC_005217	L37901
NC_005218	M14626
NC_005219	M14627
NC_005220	M17417
NC_005221	M33551
NC_005222	X55901
NC_005226	AJ005637
NC_005227	Z49915
NC_005228	Z69993
NC_005233	AJ410615
NC_005234	AJ410616
NC_005235	AJ410617
NC_005236	AY273791
NC_005237	S47716
NC_005238	X56492
NC_005258	AY257527
NC_005259	AF547430
NC_005260	AY266303
NC_005261	AY261359
NC_005262	AY349011
NC_005263	AY369265
NC_005264	AY372243
NC_005265	AY370762
NC_005266	AY303787
NC_005267	AY303788
NC_005281	AY337486
NC_005282	AF320576
NC_005283	AJ608288
NC_005284	AY453853
NC_005285	AJ607402
NC_005286	AJ514833
NC_005287	AJ557804
NC_005288	AJ564636
NC_005289	AB084450
